Sample_ID,Group,Condition
JNK_10,Cluster_1,Fib
JNK_11,Cluster_1,Fib
JNK_12,Cluster_1,Fib
JNK_13,Cluster_1,Fib
JNK_14,Cluster_1,Fib
JNK_15,Cluster_1,Fib
JNK_16,Cluster_1,Fib
JNK_17,Cluster_1,Fib
JNK_18,Cluster_1,Fib
JNK_19,Cluster_1,Fib
JNK_20,Cluster_2,No_Fib
JNK_21,Cluster_2,No_Fib
JNK_22,Cluster_2,No_Fib
JNK_23,Cluster_2,No_Fib
JNK_24,Cluster_2,No_Fib
JNK_25,Cluster_2,No_Fib
JNK_26,Cluster_2,No_Fib
JNK_27,Cluster_2,No_Fib
JNK_28,Cluster_2,No_Fib
JNK_29,Cluster_2,No_Fib
JNK_30,Cluster_3,Fib
JNK_31,Cluster_3,Fib
JNK_32,Cluster_3,Fib
JNK_33,Cluster_3,Fib
JNK_34,Cluster_3,Fib
JNK_35,Cluster_3,Fib
JNK_36,Cluster_3,Fib
JNK_37,Cluster_3,Fib
JNK_38,Cluster_3,Fib
JNK_39,Cluster_3,Fib
JNK_40,Cluster_4,No_Fib
JNK_41,Cluster_4,No_Fib
JNK_42,Cluster_4,No_Fib
JNK_43,Cluster_4,No_Fib
JNK_44,Cluster_4,No_Fib
JNK_45,Cluster_4,No_Fib
JNK_46,Cluster_4,No_Fib
JNK_47,Cluster_4,No_Fib
JNK_48,Cluster_4,No_Fib
JNK_49,Cluster_4,No_Fib
